Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
CREB3L3		1	1	1049	<0.1%	No
CDHR2		1	1	1049	<0.1%	No
H2AC16		1	1	196	0.5%	Yes
CEP135		1	1	1049	<0.1%	No
ASPN		1	1	1049	<0.1%	No
ZNF432		1	1	1049	<0.1%	No
ZNF516		1	1	1049	<0.1%	No
PDE4DIP		1	1	196	0.5%	Yes
VPS13C		1	1	1049	<0.1%	No
WBP1L		1	1	1049	<0.1%	No
PITPNM3		2	2	1049	0.2%	No
H2BC7		1	1	1049	<0.1%	No
TEK		3	3	739	0.4%	Yes
H2BC6		1	1	1049	<0.1%	No
TERT		83	82	291	28.2%	Yes
ENHO		1	1	1049	<0.1%	No
MEI1		3	2	1049	0.2%	No
TECTA		1	1	1049	<0.1%	No
ESRP1		1	1	1049	<0.1%	No
H2BC8		2	2	1049	0.2%	Yes
H3C11		1	1	263	0.4%	Yes
VGLL4		1	1	1049	<0.1%	No
TBC1D10C		1	1	1049	<0.1%	No
N4BP1		2	2	1049	0.2%	No
TFAP4		2	2	1049	0.2%	No
BZW1		1	1	1049	<0.1%	No
BMT2		1	1	1049	<0.1%	No
NUP93		4	4	970	0.4%	Yes
FAM185A		1	1	1049	<0.1%	No
DEPDC5		1	1	1049	<0.1%	No
TFAP2A		1	1	1049	<0.1%	No
GDPD2		1	1	1049	<0.1%	No
GON4L		1	1	1049	<0.1%	No
TENT5C		3	3	998	0.3%	Yes
TEX36		1	1	1049	<0.1%	No
DHCR7		1	1	1049	<0.1%	No
ELP6		1	1	1049	<0.1%	No
FITM2		1	1	1049	<0.1%	No
LRRTM1		1	1	1049	<0.1%	No
TFRC		1	1	196	0.5%	Yes
TFR2		1	1	1049	<0.1%	No
TG		2	2	1049	0.2%	No
SPNS3		1	1	1049	<0.1%	No
ELAPOR2		1	1	1049	<0.1%	No
RAPGEF2		1	1	1049	<0.1%	No
LRWD1		1	1	1049	<0.1%	No
DHODH		1	1	1049	<0.1%	No
OR1J2		1	1	1049	<0.1%	No
TFDP2		1	1	1049	<0.1%	No
GPATCH4		1	1	1049	<0.1%	No
EPS8L1		1	1	1049	<0.1%	No
TGFBR1		1	1	291	0.3%	Yes
TGFBR2		11	10	1021	1.0%	Yes
KRTAP9-1		1	1	1049	<0.1%	No
HYAL3		1	1	1049	<0.1%	No
LRRC36		1	1	1049	<0.1%	No
C17ORF49		2	1	1049	<0.1%	No
PREX2		16	15	739	2.0%	Yes
DLG1		1	1	1049	<0.1%	No
PTAR1		2	2	1049	0.2%	No
THBD		1	1	1049	<0.1%	No
ACOT1	0	2	1	1049	<0.1%	No
LSM3		1	1	1049	<0.1%	No
TRIM11		2	2	1049	0.2%	No
KLHL26		1	1	1049	<0.1%	No
FBXW7		36	33	1049	3.1%	Yes
TXNDC5		1	1	1049	<0.1%	No
DLG4		1	1	1049	<0.1%	No
DLG3		1	1	1049	<0.1%	No
PLA2G4F		2	2	1049	0.2%	No
CNTN6		1	1	1049	<0.1%	No
DLX2		1	1	1049	<0.1%	No
THPO		1	1	1049	<0.1%	No
PLA2G6		2	2	1049	0.2%	No
THRA		1	1	1049	<0.1%	No
TREML4		1	1	1049	<0.1%	No
TCHH		2	2	1049	0.2%	No
SLC5A9		2	2	1049	0.2%	No
ACKR3		1	1	1049	<0.1%	Yes
FNDC1		1	1	1049	<0.1%	No
KRBA1		1	1	1049	<0.1%	No
INSC		1	1	1049	<0.1%	No
SARDH		1	1	1049	<0.1%	No
SEZ6		1	1	1049	<0.1%	No
DNAH9		2	2	1049	0.2%	No
NACC1		1	1	1049	<0.1%	No
DNAH5		4	3	1049	0.3%	No
COQ9		1	1	1049	<0.1%	No
TLE2		1	1	1049	<0.1%	Yes
NKX2-1		10	10	1021	1.0%	Yes
DYNC1I1		1	1	1049	<0.1%	No
TBC1D31		1	1	1049	<0.1%	No
EFCAB13		1	1	1049	<0.1%	No
PAPPA2		2	2	1049	0.2%	No
USP38		1	1	1049	<0.1%	No
WBP11		1	1	1049	<0.1%	No
KRT77		1	1	1049	<0.1%	No
TTC24		1	1	1049	<0.1%	No
OR14J1		2	2	1049	0.2%	No
TLL2		1	1	196	0.5%	Yes
GOLGA6L19		1	1	1049	<0.1%	No
TLL1		1	1	1049	<0.1%	No
TNRC18		3	3	1049	0.3%	No
TLN1		4	4	1049	0.4%	No
MUC5B		6	5	1049	0.5%	No
DNMT3A		9	8	1021	0.8%	Yes
AFAP1L2		1	1	1049	<0.1%	No
SLITRK2		1	1	1049	<0.1%	No
SLC9C2		2	2	1049	0.2%	No
ANKMY2		1	1	1049	<0.1%	No
RARS2		1	1	1049	<0.1%	No
CDK5RAP3		1	1	1049	<0.1%	No
TTBK1		3	2	1049	0.2%	No
AGRN		2	2	1049	0.2%	No
GSTK1		1	1	1049	<0.1%	No
ZNF461		1	1	1049	<0.1%	No
CFAP54		1	1	1049	<0.1%	No
DOCK2		1	1	1049	<0.1%	No
ZFP3		1	1	1049	<0.1%	No
ARID4B		1	1	1049	<0.1%	Yes
PKD1L1		1	1	1049	<0.1%	No
CTAG2		1	1	1049	<0.1%	No
UBN1		1	1	1049	<0.1%	No
UTP3		1	1	1049	<0.1%	No
AGBL1		1	1	1049	<0.1%	No
LIPT2		1	1	1049	<0.1%	No
RTEL1		2	2	209	1.0%	Yes
SOCS7		1	1	1049	<0.1%	No
CDK12		11	11	998	1.1%	Yes
NME4		1	1	1049	<0.1%	No
CCNT2		1	1	1049	<0.1%	No
CNOT4		1	1	1049	<0.1%	No
ADAM32		1	1	1049	<0.1%	No
RNASEH2A		1	1	1049	<0.1%	No
FMN2		1	1	1049	<0.1%	No
GLB1L		1	1	1049	<0.1%	No
LRFN3		1	1	1049	<0.1%	No
CD1C		2	1	1049	<0.1%	No
CD1D		1	1	1049	<0.1%	No
NOS2		1	1	1049	<0.1%	No
CD3D		1	1	1049	<0.1%	No
PITRM1		1	1	1049	<0.1%	No
CSGALNACT2		1	1	1049	<0.1%	No
CMTM4		1	1	1049	<0.1%	No
ZNF653		1	1	1049	<0.1%	No
NOTCH1	5.983e-12	345	232	1049	22.1%	Yes
CCDC88B		1	1	1049	<0.1%	No
NBPF15		3	3	1049	0.3%	No
NOTCH2		41	36	998	3.6%	Yes
NOTCH3		48	44	995	4.4%	Yes
NOTCH4		28	27	995	2.7%	Yes
TIRAP		1	1	1049	<0.1%	No
UHRF1		1	1	1049	<0.1%	No
ANKRD11		2	2	263	0.8%	Yes
APPBP2		2	2	1049	0.2%	No
C17ORF100		3	3	1049	0.3%	No
CD274		4	4	824	0.5%	Yes
FBN2		1	1	1049	<0.1%	No
MS4A1		1	1	1049	<0.1%	No
FBN1		3	2	1049	0.2%	No
GLTPD2		1	1	1049	<0.1%	No
MS4A3		1	1	1049	<0.1%	No
CD22		2	2	196	1.0%	Yes
NPC1		1	1	1049	<0.1%	No
NPM1		5	5	1021	0.5%	Yes
NPR1		1	1	1049	<0.1%	No
FCGRT		1	1	1049	<0.1%	No
CD36		1	1	196	0.5%	Yes
CHERP		1	1	1049	<0.1%	No
CACTIN		2	2	1049	0.2%	No
KMT2C		128	99	824	12.0%	Yes
NRAS		11	11	1021	1.1%	Yes
SSC4D		1	1	1049	<0.1%	No
FDXR		1	1	1049	<0.1%	No
BAG6		1	1	1049	<0.1%	No
DLGAP3		1	1	1049	<0.1%	No
ENTPD5		1	1	1049	<0.1%	No
PRRC2A		1	1	1049	<0.1%	No
CTNNA3		1	1	1049	<0.1%	No
CNPY1		1	1	1049	<0.1%	No
LRRC37B		1	1	1049	<0.1%	No
FRMPD2		1	1	1049	<0.1%	No
DMRT3		1	1	1049	<0.1%	No
RPTN		1	1	1049	<0.1%	No
TCHHL1		1	1	1049	<0.1%	No
MID1IP1		1	1	1049	<0.1%	No
SEMA4D		1	1	1049	<0.1%	No
MYLIP		1	1	1049	<0.1%	No
GGA1		1	1	1049	<0.1%	No
SPDYE4		1	1	1049	<0.1%	No
ABHD16A		1	1	1049	<0.1%	No
FREM2		2	2	1049	0.2%	No
CD63		1	1	1049	<0.1%	No
NRCAM		2	2	1049	0.2%	No
SEMA6C		1	1	1049	<0.1%	No
FGF8		1	1	1049	<0.1%	No
FGF7		1	1	897	0.1%	No
OR51J1		1	1	1049	<0.1%	No
FGF6		4	4	900	0.4%	Yes
LMNB2		1	1	1049	<0.1%	No
SMO		15	15	1021	1.5%	Yes
ATP10D		1	1	1049	<0.1%	No
FGF4		2	2	998	0.2%	Yes
FGF3		4	4	998	0.4%	Yes
CD74		1	1	1049	<0.1%	Yes
CD79A		13	13	993	1.3%	Yes
ADAMTS10		1	1	1049	<0.1%	No
CD79B		3	3	1021	0.3%	Yes
IL7R		3	3	998	0.3%	Yes
ANKRD17		1	1	1049	<0.1%	No
ADGRE5		1	1	1049	<0.1%	No
SMARCD1		14	14	995	1.4%	Yes
SMARCE1		1	1	1049	<0.1%	Yes
FGFR4		17	17	1021	1.7%	Yes
FGFR2		34	30	1021	2.9%	Yes
IL12RB1		1	1	1049	<0.1%	No
GPC5		1	1	1049	<0.1%	No
ZKSCAN4		1	1	1049	<0.1%	No
FGFR3		8	8	1021	0.8%	Yes
FGFR1		12	11	1049	1.0%	Yes
TTC7A		1	1	1049	<0.1%	No
FGF14		1	1	900	0.1%	Yes
RAI14		1	1	1049	<0.1%	No
TIGD6		1	1	1049	<0.1%	No
UGT3A2		1	1	1049	<0.1%	No
FGF12		1	1	897	0.1%	Yes
CARMIL2		1	1	1049	<0.1%	No
CEMIP		1	1	1049	<0.1%	No
OR13D1		1	1	1049	<0.1%	No
FH		3	3	821	0.4%	Yes
CDC25B		1	1	1049	<0.1%	No
CDC27		2	2	1049	0.2%	No
GID8		1	1	1049	<0.1%	No
CDC42		1	1	209	0.5%	Yes
CDH1		13	12	1021	1.2%	Yes
FSCN1		1	1	1049	<0.1%	No
PKD1		3	3	1049	0.3%	No
PKD2		1	1	1049	<0.1%	No
NSD1		19	19	998	1.9%	Yes
PRELID3B		1	1	1049	<0.1%	No
NBEA		1	1	1049	<0.1%	No
VEGFD		1	1	1049	<0.1%	No
ISOC1		1	1	1049	<0.1%	No
SNRPN		1	1	1049	<0.1%	No
CAPN15		1	1	1049	<0.1%	No
PLA2G2A		1	1	1049	<0.1%	No
PLA2G4A		1	1	1049	<0.1%	No
SON		1	1	1049	<0.1%	No
SOS1		1	1	209	0.5%	Yes
ARHGEF5		2	2	1049	0.2%	No
FOXD4		1	1	1049	<0.1%	No
C17ORF107		1	1	1049	<0.1%	No
FOXC1		1	1	1049	<0.1%	No
LOXHD1		2	2	1049	0.2%	No
PKHD1		8	7	244	2.9%	No
SOX10		11	10	923	1.1%	Yes
KAT6A		21	21	900	2.3%	Yes
HIF3A		1	1	1049	<0.1%	No
LMNB1		1	1	1049	<0.1%	No
PLCB4		2	2	1049	0.2%	No
SOX9		3	3	821	0.4%	Yes
PLCD1		1	1	1049	<0.1%	No
PLCL1		1	1	1049	<0.1%	No
CPO		1	1	1049	<0.1%	No
MDGA1		1	1	1049	<0.1%	No
PLAGL2		1	1	1049	<0.1%	No
PLAU		2	2	1049	0.2%	No
SOX4		1	1	1049	<0.1%	No
TIMD4		1	1	1049	<0.1%	No
PTPDC1		1	1	1049	<0.1%	No
KRTAP4-3		1	1	1049	<0.1%	No
SP100		1	1	1049	<0.1%	No
SP4		1	1	1049	<0.1%	No
SLC22A23		1	1	1049	<0.1%	No
KLHDC8B		1	1	1049	<0.1%	No
MICOS10		1	1	1049	<0.1%	No
C16ORF90		1	1	1049	<0.1%	No
TACC2		1	1	1049	<0.1%	No
LMO1		3	3	998	0.3%	Yes
SP1		1	1	1049	<0.1%	No
PLCG2		11	11	796	1.4%	Yes
PLD2		1	1	1049	<0.1%	No
PLEC		2	2	1049	0.2%	No
BCORL1		14	14	900	1.6%	Yes
MUC20		1	1	1049	<0.1%	No
PRR21		2	2	1049	0.2%	No
LAP3		1	1	1049	<0.1%	No
GRIN3B		1	1	1049	<0.1%	No
ARID2		24	24	998	2.4%	Yes
DHX34		1	1	1049	<0.1%	No
NKAIN4		1	1	1049	<0.1%	No
LPA		1	1	1049	<0.1%	No
KRTAP4-5		2	1	1049	<0.1%	No
PCDHGA8		2	2	1049	0.2%	No
ULK2		1	1	1049	<0.1%	No
PLXNA1		2	2	1049	0.2%	No
PLXNA2		1	1	1049	<0.1%	No
PLXNB1		4	4	1049	0.4%	No
CHST8		2	2	1049	0.2%	No
LRCH4		2	2	1049	0.2%	No
LRP1		3	3	1049	0.3%	No
LRP2		2	2	920	0.2%	No
PMCH		1	1	1049	<0.1%	No
ZBTB38		1	1	1049	<0.1%	No
OR10K2		1	1	1049	<0.1%	No
DOCK8		1	1	1049	<0.1%	No
FAM131B		2	2	1049	0.2%	No
ADAMTSL2		1	1	1049	<0.1%	No
RPP30		1	1	1049	<0.1%	No
LRP6		11	11	746	1.5%	Yes
PML		1	1	196	0.5%	Yes
CCDC141		1	1	1049	<0.1%	No
OR6Y1		1	1	1049	<0.1%	No
OR6K3		1	1	1049	<0.1%	No
RIPK4		2	2	1049	0.2%	No
YOD1		1	1	1049	<0.1%	No
ADARB2		1	1	1049	<0.1%	No
ADCY1		1	1	1049	<0.1%	No
ADCY3		1	1	1049	<0.1%	No
TMEM63A		2	2	1049	0.2%	No
ARFGEF2		1	1	1049	<0.1%	No
CYP4F3		1	1	1049	<0.1%	No
LTBP1		1	1	1049	<0.1%	No
LAPTM4A		1	1	1049	<0.1%	No
CNTNAP5		3	3	1049	0.3%	No
ACTR3B		1	1	1049	<0.1%	No
ZNF536		1	1	1049	<0.1%	No
IFT140		1	1	1049	<0.1%	No
LTK		27	27	774	3.5%	Yes
ARHGAP32		1	1	1049	<0.1%	No
PADI1		1	1	1049	<0.1%	No
ADAMTSL3		3	3	1049	0.3%	No
SYTL5		1	1	1049	<0.1%	No
SYTL4		1	1	1049	<0.1%	No
ADCY5		2	1	1049	<0.1%	No
ADCY6		2	2	1049	0.2%	No
ADCY7		1	1	1049	<0.1%	No
DSE		1	1	1049	<0.1%	No
ADCYAP1		1	1	1049	<0.1%	No
IL22RA2		1	1	1049	<0.1%	No
ADD2		1	1	1049	<0.1%	No
CCP110		1	1	1049	<0.1%	No
KNTC1		3	3	1049	0.3%	No
SEMA4C		1	1	1049	<0.1%	No
CCDC117		1	1	1049	<0.1%	No
SPOP		2	2	998	0.2%	Yes
USP34		4	3	1049	0.3%	No
TMEM260		1	1	1049	<0.1%	No
ULK1		1	1	1049	<0.1%	No
PMS2		19	18	995	1.8%	Yes
LYL1		2	2	196	1.0%	Yes
LYN		3	3	739	0.4%	Yes
ABHD4		1	1	1049	<0.1%	No
MCOLN2		1	1	1049	<0.1%	No
DMGDH		2	1	1049	<0.1%	No
SLC25A24		1	1	1049	<0.1%	No
ADH1B		1	1	1049	<0.1%	No
PHACTR2		2	2	1049	0.2%	No
DUS2		1	1	1049	<0.1%	No
LZTS3		1	1	1049	<0.1%	No
ABCA13		1	1	1049	<0.1%	No
KIAA0513		1	1	1049	<0.1%	No
TACSTD2		1	1	1049	<0.1%	No
EPN1		1	1	1049	<0.1%	No
HDAC4		1	1	196	0.5%	Yes
KMT2B		2	2	209	1.0%	Yes
RP1L1		3	3	1049	0.3%	No
SMAD2		1	1	1021	<0.1%	Yes
TMOD1		1	1	1049	<0.1%	No
SMAD3		1	1	844	0.1%	Yes
GPR132		1	1	1049	<0.1%	No
PARP1		12	12	995	1.2%	Yes
PARP4		36	35	897	3.9%	No
RNF38		3	3	1049	0.3%	No
TSPAN4		1	1	1049	<0.1%	No
TRAPPC10		1	1	1049	<0.1%	No
RASAL1		1	1	1049	<0.1%	No
RAD54L		8	8	995	0.8%	Yes
EPPK1		1	1	1049	<0.1%	No
CLEC3B		2	2	1049	0.2%	No
CUL4A		4	4	897	0.4%	Yes
MATR3		1	1	1049	<0.1%	No
SNX15		1	1	1049	<0.1%	No
MSANTD1		1	1	1049	<0.1%	No
CUL3		1	1	821	0.1%	Yes
TNFAIP2		1	1	1049	<0.1%	No
KIAA0586		1	1	1049	<0.1%	No
OPLAH		1	1	1049	<0.1%	No
PIEZO1		1	1	1049	<0.1%	No
CUL4B		3	3	897	0.3%	No
SMAD9		1	1	1049	<0.1%	No
MAF		1	1	196	0.5%	Yes
KRT71		1	1	1049	<0.1%	No
ADSS2		1	1	1049	<0.1%	No
TBC1D5		2	2	1049	0.2%	No
FAM120C		1	1	1049	<0.1%	No
DRD4		1	1	1049	<0.1%	No
TMEM160		1	1	1049	<0.1%	No
FKBP6		1	1	1049	<0.1%	No
TATDN2		1	1	1049	<0.1%	No
SMARCA5		1	1	1049	<0.1%	No
HOOK2		1	1	1049	<0.1%	No
AP1B1		1	1	1049	<0.1%	No
BMS1		1	1	1049	<0.1%	No
AEBP1		2	2	1049	0.2%	No
ATN1		4	4	1049	0.4%	No
SSH3		1	1	1049	<0.1%	No
VSX2		1	1	1049	<0.1%	No
TNFAIP3		5	4	1021	0.4%	Yes
TPST2		2	2	1049	0.2%	No
EEF2KMT		1	1	1049	<0.1%	No
DSCAM		1	1	1049	<0.1%	No
GATD1		1	1	1049	<0.1%	No
TNXB		1	1	1049	<0.1%	No
ACAN		3	3	1049	0.3%	No
EPYC		1	1	1049	<0.1%	No
TMEM132A		1	1	1049	<0.1%	No
C10ORF55		1	1	1049	<0.1%	No
SLC26A2		1	1	1049	<0.1%	No
TOP2A		9	9	723	1.2%	No
TP53BP1		31	31	739	4.2%	Yes
TP53	7.815e-9	98	76	1049	7.2%	Yes
JAG1		1	1	1049	<0.1%	No
AGT		1	1	1049	<0.1%	No
TOP1		5	5	1021	0.5%	Yes
CILP		1	1	1049	<0.1%	No
OFD1		1	1	1049	<0.1%	No
NMRK1		3	3	1049	0.3%	No
AGXT		1	1	1049	<0.1%	No
ULK4		3	3	1049	0.3%	No
PPFIA4		1	1	1049	<0.1%	No
TMEM74		1	1	1049	<0.1%	No
WDR89		2	1	1049	<0.1%	No
PPFIA2		1	1	1049	<0.1%	No
CHD5		1	1	1049	<0.1%	No
RGS5		1	1	1049	<0.1%	No
SIPA1L1		1	1	1049	<0.1%	No
PPM1D		1	1	263	0.4%	Yes
PRR29		1	1	1049	<0.1%	No
TPBG		2	1	1049	<0.1%	No
ANO2		1	1	1049	<0.1%	No
PIGO		1	1	1049	<0.1%	No
SIX4		1	1	1049	<0.1%	No
TPSAB1		3	2	1049	0.2%	No
GALNT7		1	1	1049	<0.1%	No
TPTE		1	1	1049	<0.1%	No
STRADA		1	1	1049	<0.1%	No
FAM169A		1	1	1049	<0.1%	No
ZNF500		1	1	1049	<0.1%	No
JMJD1C		3	3	1049	0.3%	No
TCAF2		3	1	1049	<0.1%	No
C6ORF62		1	1	1049	<0.1%	No
TNKS2		11	10	746	1.3%	No
RNF148		1	1	1049	<0.1%	No
FOXI2	0	2	1	1049	<0.1%	No
DPP9		1	1	1049	<0.1%	No
PRB2		2	1	1049	<0.1%	No
HSP90B1		1	1	1049	<0.1%	No
E2F7		1	1	1049	<0.1%	No
SPATS2L		1	1	1049	<0.1%	No
FCRL5		2	2	1049	0.2%	No
BEST3		1	1	1049	<0.1%	No
TENM4		3	3	1049	0.3%	No
PDCD1LG2		6	6	742	0.8%	Yes
ZNF311		1	1	1049	<0.1%	No
NRL		1	1	1049	<0.1%	No
CD276		1	1	291	0.3%	Yes
HRCT1		1	1	1049	<0.1%	No
TYMP		1	1	1049	<0.1%	No
HOGA1		2	2	1049	0.2%	No
NTRK1		40	40	1021	3.9%	Yes
NTRK2		9	9	1021	0.9%	Yes
NTRK3		7	7	1021	0.7%	Yes
KRTAP4-11		1	1	1049	<0.1%	No
PTCD1		1	1	1049	<0.1%	No
ELOVL3		1	1	1049	<0.1%	No
FAM180B		1	1	1049	<0.1%	No
COL5A3		2	1	1049	<0.1%	No
NOX3		1	1	1049	<0.1%	No
POTEI		3	3	1049	0.3%	No
PAK5		5	5	995	0.5%	Yes
RNPEPL1		2	2	1049	0.2%	No
NUP88		1	1	1049	<0.1%	No
KMT5A		5	3	209	1.4%	Yes
DDR2		13	13	1021	1.3%	Yes
NUCB1		3	2	1049	0.2%	No
BICRA		1	1	1049	<0.1%	No
TMEM233		1	1	1049	<0.1%	No
OBP2A		1	1	1049	<0.1%	No
PILRB		1	1	1049	<0.1%	No
RNF167		1	1	1049	<0.1%	No
TMEM63C		1	1	1049	<0.1%	No
MOXD1		1	1	1049	<0.1%	No
ILF3		1	1	1049	<0.1%	No
IL17A		1	1	1049	<0.1%	No
POM121L7P		1	1	1049	<0.1%	No
ANKRD30A		1	1	1049	<0.1%	No
ILK		1	1	1049	<0.1%	No
ZNF462		2	2	1049	0.2%	No
APEX2		2	2	1049	0.2%	No
ASPHD2		1	1	1049	<0.1%	No
ZNFX1		2	2	1049	0.2%	No
RBMX		2	2	1049	0.2%	No
VARS2		1	1	1049	<0.1%	No
CAMK1G		2	2	1049	0.2%	No
PUS7L		1	1	1049	<0.1%	No
INHBA		3	3	993	0.3%	Yes
ING2		1	1	1049	<0.1%	No
ZMIZ1		1	1	1049	<0.1%	No
CYP2W1		1	1	1049	<0.1%	No
TTC19		1	1	1049	<0.1%	No
